"Species","ConservationStart","NumProjects","SumTotalBudgetWeighted","SumEUContributionWeighted","taxonid","scientific_name","region_identifier","1965","1978","1982","1983","1985","1986","1988","1990","1994","1996","1997","1998","2000","2002","2003","2004","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","current_category","ConservationProjects"
"Fritillaria alfredae",NA,NA,NA,NA,13136796,"Fritillaria alfredae","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria carica",NA,NA,NA,NA,13136962,"Fritillaria carica","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria conica",NA,NA,NA,NA,161962,"Fritillaria conica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Fritillaria conica",NA,NA,NA,NA,161962,"Fritillaria conica","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Fritillaria davisii",NA,NA,NA,NA,13137033,"Fritillaria davisii","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Fritillaria drenovskii",NA,NA,NA,NA,161845,"Fritillaria drenovskii","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Fritillaria sporadum",NA,NA,NA,NA,13137108,"Fritillaria ehrhartii","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria epirotica",NA,NA,NA,NA,165171,"Fritillaria epirotica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Fritillaria epirotica",NA,NA,NA,NA,165171,"Fritillaria epirotica","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Fritillaria euboeica",NA,NA,NA,NA,165253,"Fritillaria euboeica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Fritillaria euboeica",NA,NA,NA,NA,165253,"Fritillaria euboeica","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Fritillaria graeca",NA,NA,NA,NA,165130,"Fritillaria graeca","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Fritillaria graeca",NA,NA,NA,NA,165130,"Fritillaria graeca","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Fritillaria gussichiae",NA,NA,NA,NA,162018,"Fritillaria gussichiae","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Fritillaria involucrata",NA,NA,NA,NA,13137261,"Fritillaria involucrata","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria lusitanica",NA,NA,NA,NA,13137274,"Fritillaria lusitanica","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria macedonica",NA,NA,NA,NA,18006860,"Fritillaria macedonica","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Fritillaria messanensis",NA,NA,NA,NA,13137294,"Fritillaria messanensis","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria montana",NA,NA,NA,NA,165151,"Fritillaria montana","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Fritillaria mutabilis",NA,NA,NA,NA,13137302,"Fritillaria mutabilis","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria obliqua",NA,NA,NA,NA,162277,"Fritillaria obliqua","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"EN",FALSE
"Fritillaria obliqua",NA,NA,NA,NA,162277,"Fritillaria obliqua","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"EN",FALSE
"Fritillaria obliqua subsp. obliqua",NA,NA,NA,NA,89334116,"Fritillaria obliqua subsp. obliqua","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Fritillaria obliqua subsp. obliqua",NA,NA,NA,NA,89334116,"Fritillaria obliqua subsp. obliqua","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"EN",FALSE
"Fritillaria obliqua subsp. tuntasia",NA,NA,NA,NA,165116,"Fritillaria obliqua subsp. tuntasia","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Fritillaria obliqua subsp. tuntasia",NA,NA,NA,NA,165116,"Fritillaria obliqua subsp. tuntasia","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Fritillaria oranensis",NA,NA,NA,NA,13137310,"Fritillaria oranensis","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,"NT",FALSE
"Fritillaria pontica",NA,NA,NA,NA,56693196,"Fritillaria pontica","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria rhodia",NA,NA,NA,NA,13137349,"Fritillaria rhodia","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Fritillaria rhodocanakis",NA,NA,NA,NA,162170,"Fritillaria rhodocanakis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria rhodocanakis",NA,NA,NA,NA,162170,"Fritillaria rhodocanakis","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fritillaria sibthorpiana",NA,NA,NA,NA,13137404,"Fritillaria sibthorpiana","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,"DD",FALSE
"Frullania acicularis",NA,NA,NA,NA,131796526,"Frullania acicularis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,"NT",FALSE
"Frullania azorica",NA,NA,NA,NA,87542408,"Frullania azorica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Frullania bolanderi",NA,NA,NA,NA,87542412,"Frullania bolanderi","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Frullania calcarifera",NA,NA,NA,NA,131796552,"Frullania calcarifera","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Frullania dilatata",NA,NA,NA,NA,87542443,"Frullania dilatata","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Frullania ericoides",NA,NA,NA,NA,87542450,"Frullania ericoides","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Frullania fragilifolia",NA,NA,NA,NA,87542456,"Frullania fragilifolia","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Frullania inflata",NA,NA,NA,NA,87542467,"Frullania inflata","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Frullania jackii",NA,NA,NA,NA,87542496,"Frullania jackii","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"VU",FALSE
"Frullania microphylla",NA,NA,NA,NA,87542500,"Frullania microphylla","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Frullania oakesiana",NA,NA,NA,NA,87542504,"Frullania oakesiana","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Frullania parvistipula",NA,NA,NA,NA,87543061,"Frullania parvistipula","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",FALSE
"Frullania polysticta",NA,NA,NA,NA,39193,"Frullania polysticta","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,"VU",FALSE
"Frullania riparia",NA,NA,NA,NA,87543071,"Frullania riparia","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",FALSE
"Frullania sergiae",NA,NA,NA,NA,175046,"Frullania sergiae","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",FALSE
"Frullania subarctica",NA,NA,NA,NA,131796563,"Frullania subarctica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Frullania tamarisci",NA,NA,NA,NA,87543092,"Frullania tamarisci","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Frullania teneriffae",NA,NA,NA,NA,87543119,"Frullania teneriffae","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fruticicola fruticum",NA,NA,NA,NA,156843,"Fruticicola fruticum","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuirena ciliaris",NA,NA,NA,NA,158207,"Fuirena ciliaris","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuirena pubescens",NA,NA,NA,NA,164041,"Fuirena pubescens","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuirena pubescens",NA,NA,NA,NA,164041,"Fuirena pubescens","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fulica atra",NA,NA,NA,NA,22692913,"Fulica atra","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,"NT",NA,NA,"NT",FALSE
"Fulica cristata",1999,2,870236,435118,22692907,"Fulica cristata","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"CR",NA,NA,"CR",TRUE
"Fulmarus glacialis",2021,1,431548,257980,22697866,"Fulmarus glacialis","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"VU",NA,NA,"VU",TRUE
"Fumaria pulchella",NA,NA,NA,NA,203380,"Fumaria officinalis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Funaria arctica",NA,NA,NA,NA,84374181,"Funaria arctica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Funaria plagiostoma",NA,NA,NA,NA,168928,"Funaria hygrometrica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Funaria microstoma",NA,NA,NA,NA,84374193,"Funaria microstoma","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Funariella curviseta",NA,NA,NA,NA,84374197,"Funariella curviseta","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Funiculina quadrangularis",NA,NA,NA,NA,50013368,"Funiculina quadrangularis","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,"VU",FALSE
"Furcopenis circularis",NA,NA,NA,NA,170713,"Furcopenis circularis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,"NT",FALSE
"Furcopenis darioi",NA,NA,NA,NA,170714,"Furcopenis darioi","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,"VU",FALSE
"Furcopenis gallaeciensis",NA,NA,NA,NA,170715,"Furcopenis gallaeciensis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,"NT",FALSE
"Furcopenis geresiensis",NA,NA,NA,NA,170716,"Furcopenis geresiensis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,"NT",FALSE
"Fuscocephaloziopsis affinis",NA,NA,NA,NA,87491533,"Fuscocephaloziopsis affinis","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Fuscocephaloziopsis albescens",NA,NA,NA,NA,87491702,"Fuscocephaloziopsis albescens","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis catenulata",NA,NA,NA,NA,87491558,"Fuscocephaloziopsis catenulata","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis connivens",NA,NA,NA,NA,87491562,"Fuscocephaloziopsis connivens","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis crassifolia",NA,NA,NA,NA,87491572,"Fuscocephaloziopsis crassifolia","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis leucantha",NA,NA,NA,NA,87491617,"Fuscocephaloziopsis leucantha","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis loitlesbergeri",NA,NA,NA,NA,87491622,"Fuscocephaloziopsis loitlesbergeri","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis lunulifolia",NA,NA,NA,NA,87491631,"Fuscocephaloziopsis lunulifolia","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis macrostachya",NA,NA,NA,NA,87491697,"Fuscocephaloziopsis macrostachya","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fuscocephaloziopsis pleniceps",NA,NA,NA,NA,80580610,"Fuscocephaloziopsis pleniceps","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Fusulus interruptus",NA,NA,NA,NA,171311,"Fusulus interruptus","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gadella maraldi",NA,NA,NA,NA,198600,"Gadella maraldi","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gadella maraldi",NA,NA,NA,NA,198600,"Gadella maraldi","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gadiculus argenteus",NA,NA,NA,NA,198584,"Gadiculus argenteus","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gadiculus argenteus",NA,NA,NA,NA,198584,"Gadiculus argenteus","mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gadomus arcuatus",NA,NA,NA,NA,60470467,"Gadomus arcuatus","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Gadomus dispar",NA,NA,NA,NA,190126,"Gadomus dispar","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,"DD",FALSE
"Gadomus longifilis",NA,NA,NA,NA,15522159,"Gadomus longifilis","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gadus chalcogrammus",NA,NA,NA,NA,18258863,"Gadus chalcogrammus","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",FALSE
"Gadus morhua",NA,NA,NA,NA,8784,"Gadus morhua","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gagea algeriensis",NA,NA,NA,NA,89139662,"Gagea algeriensis","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
"Gagea amblyopetala",NA,NA,NA,NA,89145872,"Gagea amblyopetala","mediterranean&",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",FALSE
